

Datetime, florida mall,Disney Parks,The Mall at Millenia
2023-05-07,30,37,11
2023-05-14,26,38,12
2023-05-21,28,39,13
2023-05-28,32,41,11
2023-06-04,29,40,13
2023-06-11,31,41,11
2023-06-18,30,47,13
2023-06-25,32,37,13
2023-07-02,38,40,16
2023-07-09,33,100,14
2023-07-16,33,41,13
2023-07-23,37,41,15
2023-07-30,36,35,15
2023-08-06,34,30,15
2023-08-13,29,32,14
2023-08-20,24,31,11
2023-08-27,26,31,11
2023-09-03,23,31,11
2023-09-10,22,27,10
2023-09-17,24,35,11
2023-09-24,22,32,11
2023-10-01,23,31,11
2023-10-08,24,33,10
2023-10-15,23,35,11
2023-10-22,24,31,11
2023-10-29,24,31,10
2023-11-05,23,33,11
2023-11-12,26,35,12
2023-11-19,36,33,19
2023-11-26,25,33,13
2023-12-03,27,31,13
2023-12-10,31,33,14
2023-12-17,49,34,22
2023-12-24,65,46,24
2023-12-31,86,42,17
2024-01-07,83,38,11
2024-01-14,39,38,12
2024-01-21,27,36,11
2024-01-28,26,36,9
2024-02-04,26,39,11
2024-02-11,32,37,11
2024-02-18,29,40,11
2024-02-25,23,42,9
2024-03-03,24,38,10
2024-03-10,27,40,11
2024-03-17,28,38,10
2024-03-24,29,37,12
2024-03-31,27,38,12
2024-04-07,25,36,8
2024-04-14,23,36,10
2024-04-21,25,50,10
2024-04-28,25,36,10
2024-05-05,25,38,11
2024-05-12,26,39,12
