week,search
2023-04-30,69
2023-05-07,68
2023-05-14,70
2023-05-21,75
2023-05-28,69
2023-06-04,73
2023-06-11,78
2023-06-18,69
2023-06-25,73
2023-07-02,81
2023-07-09,78
2023-07-16,72
2023-07-23,75
2023-07-30,75
2023-08-06,66
2023-08-13,64
2023-08-20,62
2023-08-27,70
2023-09-03,62
2023-09-10,56
2023-09-17,64
2023-09-24,63
2023-10-01,64
2023-10-08,62
2023-10-15,64
2023-10-22,60
2023-10-29,60
2023-11-05,66
2023-11-12,66
2023-11-19,66
2023-11-26,62
2023-12-03,62
2023-12-10,68
2023-12-17,67
2023-12-24,92
2023-12-31,100
2024-01-07,84
2024-01-14,76
2024-01-21,70
2024-01-28,77
2024-02-04,74
2024-02-11,74
2024-02-18,74
2024-02-25,75
2024-03-03,76
2024-03-10,77
2024-03-17,79
2024-03-24,84
2024-03-31,71
2024-04-07,68
2024-04-14,67
2024-04-21,67
2024-04-28,67
