name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Orlando ,2023-05-01,86,64.7,74.1,84.8,64.7,73.9,56.5,57.2,0,0,0,,0,0,34,22.2,254.7,1011.3,2.4,9.9,298.5,25.8,10,10,2023-05-01T06:45:00,2023-05-01T20:00:42,0.37,Clear,Clear conditions throughout the day.,clear-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-02,87.1,66.6,76.4,86.5,66.6,76.3,60.7,60.8,0,0,0,,0,0,29.5,20.4,251.7,1011.6,6.1,9.9,302.4,26,10,10,2023-05-02T06:44:10,2023-05-02T20:01:18,0.4,Clear,Clear conditions throughout the day.,clear-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-03,86,69,75.5,82.7,69,74.9,51.8,49.9,0,0,0,,0,0,31.5,17.9,282.5,1011.5,3.9,9.9,288.5,25.1,9,10,2023-05-03T06:43:21,2023-05-03T20:01:55,0.43,Clear,Clear conditions throughout the day.,clear-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-04,86,63.7,75.3,83.3,63.7,74.5,51.3,46.3,0,0,0,,0,0,21.9,11.2,304.2,1014.7,2.7,9.9,299.1,25.9,9,10,2023-05-04T06:42:33,2023-05-04T20:02:31,0.47,Clear,Clear conditions throughout the day.,clear-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-05,87,65.9,75.2,87.1,65.9,75.3,58.8,57.7,0,0,0,,0,0,27.7,14.8,85.2,1017.9,26.6,9.9,229.9,19.9,9,10,2023-05-05T06:41:47,2023-05-05T20:03:07,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-06,82.6,70.1,75.6,84.8,70.1,75.8,63.6,66.9,0,0,0,,0,0,31,19.9,73,1020.4,68,9.9,211.9,18.3,7,10,2023-05-06T06:41:01,2023-05-06T20:03:43,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-07,82.8,66.1,74.6,82.7,66.1,74.6,60,62.5,0,0,0,,0,0,27.3,17.8,99.3,1021.4,26.4,9.9,233.8,20.3,7,10,2023-05-07T06:40:16,2023-05-07T20:04:20,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-08,87.6,64,75,87,64,74.9,58.1,57.9,0,0,0,,0,0,24.2,11.4,123.7,1018.9,7.5,9.9,298.2,25.8,9,10,2023-05-08T06:39:33,2023-05-08T20:04:56,0.61,Clear,Clear conditions throughout the day.,clear-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-09,88.9,67.7,78.4,88.8,67.7,78.7,62.5,60.2,0,0,0,,0,0,8.1,11.2,234.7,1017.5,9.6,9.9,261.7,22.7,9,10,2023-05-09T06:38:50,2023-05-09T20:05:32,0.64,Clear,Clear conditions throughout the day.,clear-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
Orlando ,2023-05-10,92.8,70.1,81.3,93.9,70.1,82,65,59.9,0,0,0,,0,0,20.8,13.8,45.7,1016.7,9.4,9.9,273.3,23.6,9,30,2023-05-10T06:38:09,2023-05-10T20:06:08,0.68,Clear,Clear conditions throughout the day.,clear-day,"72205312841,1341W,72205712854,72205012815,KISM,KORL,KMCO"
